District,District Code,No,Yes,Total
Achievement First Hartford Academy Inc. District,2880013,1024,125,1149
Amistad Academy District,2790013,1020,61,1081
Andover School District,0010011,*,*,204
Ansonia School District,0020011,1847,457,2304
Area Cooperative Educational Services,2440014,1196,746,1942
Ashford School District,0030011,343,52,395
Avon School District,0040011,2897,324,3221
Barkhamsted School District,0050011,190,58,248
Berlin School District,0070011,2417,378,2795
Bethany School District,0080011,311,54,365
Bethel School District,0090011,2681,378,3059
Bloomfield School District,0110011,1798,351,2149
Bolton School District,0120011,714,98,812
Booker T. Washington Academy District,2950013,284,16,300
Bozrah School District,0130011,181,23,204
Branford School District,0140011,2513,405,2918
Brass City Charter School District,2900013,232,22,254
Bridgeport Achievement First District,2850013,958,104,1062
Bridgeport School District,0150011,17369,3527,20896
Bristol School District,0170011,6531,1466,7997
Brookfield School District,0180011,2269,370,2639
Brooklyn School District,0190011,770,128,898
Canaan School District,0210011,64,7,71
Canterbury School District,0220011,403,56,459
Canton School District,0230011,1418,190,1608
Capital Preparatory Harbor School District,2970013,390,49,439
Capitol Region Education Council,2410014,7080,1484,8564
Chaplin School District,0240011,128,20,148
Cheshire School District,0250011,3782,514,4296
Chester School District,0260011,175,30,205
Clinton School District,0270011,1542,225,1767
Colchester School District,0280011,2059,393,2452
Colebrook School District,0290011,69,18,87
Columbia School District,0300011,376,61,437
Common Ground High School District,2680013,167,35,202
Connecticut Technical Education and Career System,9000016,9696,1033,10729
Cooperative Educational Services,2430014,489,345,834
Cornwall School District,0310011,62,11,73
Coventry School District,0320011,1445,245,1690
Cromwell School District,0330011,1743,230,1973
Danbury School District,0340011,9999,1484,11483
Darien School District,0350011,4136,682,4818
Deep River School District,0360011,239,37,276
Department of Mental Health and Addiction Services,3370015,0,*,*
Derby School District,0370011,1147,223,1370
East Granby School District,0400011,738,110,848
East Haddam School District,0410011,890,133,1023
East Hampton School District,0420011,1667,202,1869
East Hartford School District,0430011,5624,1244,6868
East Haven School District,0440011,2462,410,2872
East Lyme School District,0450011,2369,388,2757
East Windsor School District,0470011,870,212,1082
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,247,178,425
Eastford School District,0390011,118,33,151
Easton School District,0460011,788,118,906
EdAdvance,2420014,184,48,232
Ellington School District,0480011,2359,329,2688
Elm City College Preparatory School District,2890013,693,59,752
Elm City Montessori School District,2910013,160,10,170
Enfield School District,0490011,4372,834,5206
Essex School District,0500011,284,62,346
Explorations District,2720013,56,40,96
Fairfield School District,0510011,8696,1280,9976
Farmington School District,0520011,3640,472,4112
Franklin School District,0530011,153,12,165
Glastonbury School District,0540011,5273,646,5919
Granby School District,0560011,1635,239,1874
Great Oaks Charter School District,2940013,324,76,400
Greenwich School District,0570011,8018,1024,9042
Griswold School District,0580011,1483,296,1779
Groton School District,0590011,3626,755,4381
Guilford School District,0600011,2982,406,3388
Hamden School District,0620011,4459,961,5420
Hampton School District,0630011,72,21,93
Hartford School District,0640011,16498,3644,20142
Hartland School District,0650011,143,30,173
Hebron School District,0670011,609,93,702
Highville Charter School District,2860013,477,25,502
Integrated Day Charter School District,2640013,307,24,331
Interdistrict School for Arts and Comm District,2650013,232,39,271
Jumoke Academy District,2610013,717,36,753
Kent School District,0680011,204,21,225
Killingly School District,0690011,2145,378,2523
Learn,2450014,2118,366,2484
Lebanon School District,0710011,853,158,1011
Ledyard School District,0720011,1986,453,2439
Lisbon School District,0730011,329,69,398
Litchfield School District,0740011,786,132,918
Madison School District,0760011,2444,391,2835
Manchester School District,0770011,5308,920,6228
Mansfield School District,0780011,1004,134,1138
Marlborough School District,0790011,429,62,491
Meriden School District,0800011,6337,1596,7933
Middletown School District,0830011,3950,638,4588
Milford School District,0840011,4971,821,5792
Monroe School District,0850011,2770,379,3149
Montville School District,0860011,1838,342,2180
Naugatuck School District,0880011,3560,684,4244
New Beginnings Inc Family Academy District,2800013,467,30,497
New Britain School District,0890011,8051,2013,10064
New Canaan School District,0900011,3745,492,4237
New Fairfield School District,0910011,2046,262,2308
New Hartford School District,0920011,397,59,456
New Haven School District,0930011,18448,3070,21518
New London School District,0950011,3070,630,3700
New Milford School District,0960011,3544,589,4133
Newington School District,0940011,3528,550,4078
Newtown School District,0970011,3850,557,4407
Norfolk School District,0980011,72,23,95
North Branford School District,0990011,1537,247,1784
North Canaan School District,1000011,244,37,281
North Haven School District,1010011,2797,362,3159
North Stonington School District,1020011,682,70,752
Norwalk School District,1030011,9920,1653,11573
Norwich Free Academy District,9010022,2058,268,2326
Norwich School District,1040011,2832,763,3595
Odyssey Community School District,2630013,307,22,329
Old Saybrook School District,1060011,1095,171,1266
Orange School District,1070011,1072,103,1175
Oxford School District,1080011,1629,226,1855
Park City Prep Charter School District,2830013,317,43,360
Path Academy District,2930013,140,34,174
Plainfield School District,1090011,1923,344,2267
Plainville School District,1100011,2056,320,2376
Plymouth School District,1110011,1223,243,1466
Pomfret School District,1120011,342,46,388
Portland School District,1130011,1173,148,1321
Preston School District,1140011,374,73,447
Putnam School District,1160011,972,213,1185
Redding School District,1170011,783,131,914
Regional School District 01,2010012,318,72,390
Regional School District 04,2040012,780,144,924
Regional School District 05,2050012,1947,269,2216
Regional School District 06,2060012,750,169,919
Regional School District 07,2070012,919,163,1082
Regional School District 08,2080012,1301,207,1508
Regional School District 09,2090012,803,106,909
Regional School District 10,2100012,2074,274,2348
Regional School District 11,2110012,186,49,235
Regional School District 12,2120012,595,97,692
Regional School District 13,2130012,1405,270,1675
Regional School District 14,2140012,1453,263,1716
Regional School District 15,2150012,3019,612,3631
Regional School District 16,2160012,1896,301,2197
Regional School District 17,2170012,1701,365,2066
Regional School District 18,2180012,1113,165,1278
Regional School District 19,2190012,1025,183,1208
Ridgefield School District,1180011,4359,570,4929
Rocky Hill School District,1190011,2414,295,2709
Salem School District,1210011,336,65,401
Salisbury School District,1220011,272,26,298
Scotland School District,1230011,101,18,119
Seymour School District,1240011,1870,306,2176
Sharon School District,1250011,114,25,139
Shelton School District,1260011,4036,684,4720
Sherman School District,1270011,261,41,302
Side By Side Charter School District,2700013,213,22,235
Simsbury School District,1280011,3519,579,4098
Somers School District,1290011,1236,203,1439
South Windsor School District,1320011,3669,590,4259
Southington School District,1310011,5584,916,6500
Sprague School District,1330011,282,57,339
Stafford School District,1340011,1315,212,1527
Stamford Academy District,2820013,105,54,159
Stamford Charter School for Excellence District,2960013,262,11,273
Stamford School District,1350011,13864,2067,15931
Sterling School District,1360011,335,52,387
Stonington School District,1370011,1784,313,2097
Stratford School District,1380011,5921,919,6840
Suffield School District,1390011,1917,301,2218
The Bridge Academy District,2690013,224,55,279
The Gilbert School District,9020022,476,85,561
The Woodstock Academy District,9030022,1009,78,1087
Thomaston School District,1400011,736,141,877
Thompson School District,1410011,883,137,1020
Tolland School District,1420011,2155,312,2467
Torrington School District,1430011,3279,829,4108
Trailblazers Academy District,2780013,83,36,119
Trumbull School District,1440011,5944,796,6740
Unified School District #1,3360015,39,140,179
Unified School District #2,3470015,28,129,157
Union School District,1450011,44,*,*
Vernon School District,1460011,2617,491,3108
Voluntown School District,1470011,231,51,282
Wallingford School District,1480011,5032,831,5863
Waterbury School District,1510011,15487,3520,19007
Waterford School District,1520011,2146,389,2535
Watertown School District,1530011,2404,381,2785
West Hartford School District,1550011,8492,1246,9738
West Haven School District,1560011,4854,1007,5861
Westbrook School District,1540011,619,112,731
Weston School District,1570011,2117,226,2343
Westport School District,1580011,4948,650,5598
Wethersfield School District,1590011,3091,518,3609
Willington School District,1600011,367,73,440
Wilton School District,1610011,3482,568,4050
Winchester School District,1620011,427,127,554
Windham School District,1630011,2707,642,3349
Windsor Locks School District,1650011,1318,235,1553
Windsor School District,1640011,2684,590,3274
Wolcott School District,1660011,1993,270,2263
Woodbridge School District,1670011,742,94,836
Woodstock School District,1690011,755,102,857
Total,,455769,79256,535025
