District,District Code,% Chronically Absent
Achievement First Hartford Academy Inc. District,2880013,9.1
Amistad Academy District,2790013,5.6
Andover School District,0010011,3.5
Ansonia School District,0020011,18
Area Cooperative Educational Services,2440014,19.3
Ashford School District,0030011,7
Avon School District,0040011,5.6
Barkhamsted School District,0050011,3.8
Berlin School District,0070011,11.8
Bethany School District,0080011,6.1
Bethel School District,0090011,4.3
Bloomfield School District,0110011,8.5
Bolton School District,0120011,3.9
Booker T. Washington Academy District,2950013,15.3
Bozrah School District,0130011,5.8
Branford School District,0140011,8
Brass City Charter School District,2900013,7.3
Bridgeport Achievement First District,2850013,5.5
Bridgeport School District,0150011,18.3
Bristol School District,0170011,8
Brookfield School District,0180011,4.6
Brooklyn School District,0190011,4.8
Canaan School District,0210011,9.5
Canterbury School District,0220011,5.9
Canton School District,0230011,6.5
Capital Preparatory Harbor School District,2970013,9.2
Capitol Region Education Council,2410014,14
Chaplin School District,0240011,7.5
Cheshire School District,0250011,3.8
Chester School District,0260011,*
Clinton School District,0270011,6.3
Colchester School District,0280011,5.6
Colebrook School District,0290011,*
Columbia School District,0300011,5.4
Common Ground High School District,2680013,12.9
Connecticut Technical Education and Career System,9000016,12.5
Cooperative Educational Services,2430014,19.7
Cornwall School District,0310011,*
Coventry School District,0320011,10.1
Cromwell School District,0330011,1.8
Danbury School District,0340011,7.2
Darien School District,0350011,3.2
Deep River School District,0360011,2.8
Department of Mental Health and Addiction Services,3370015,*
Derby School District,0370011,12.8
East Granby School District,0400011,5.8
East Haddam School District,0410011,6.1
East Hampton School District,0420011,7.8
East Hartford School District,0430011,14
East Haven School District,0440011,15.7
East Lyme School District,0450011,4.5
East Windsor School District,0470011,12.1
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,34.3
Eastford School District,0390011,*
Easton School District,0460011,2.3
EdAdvance,2420014,*
Ellington School District,0480011,6.3
Elm City College Preparatory School District,2890013,9.1
Elm City Montessori School District,2910013,26.7
Enfield School District,0490011,10
Essex School District,0500011,3.5
Explorations District,2720013,28.8
Fairfield School District,0510011,5.2
Farmington School District,0520011,4.5
Franklin School District,0530011,6
Glastonbury School District,0540011,3.3
Granby School District,0560011,5.4
Great Oaks Charter School District,2940013,11
Greenwich School District,0570011,3.9
Griswold School District,0580011,10.1
Groton School District,0590011,11.3
Guilford School District,0600011,4.1
Hamden School District,0620011,12.7
Hampton School District,0630011,6.9
Hartford School District,0640011,22.1
Hartland School District,0650011,*
Hebron School District,0670011,2
Highville Charter School District,2860013,8.6
Integrated Day Charter School District,2640013,5.8
Interdistrict School for Arts and Comm District,2650013,7.7
Jumoke Academy District,2610013,14
Kent School District,0680011,4.4
Killingly School District,0690011,14.9
Learn,2450014,16.3
Lebanon School District,0710011,7.2
Ledyard School District,0720011,5.5
Lisbon School District,0730011,8
Litchfield School District,0740011,9.7
Madison School District,0760011,3.3
Manchester School District,0770011,16.9
Mansfield School District,0780011,4.4
Marlborough School District,0790011,5
Meriden School District,0800011,15.4
Middletown School District,0830011,9.1
Milford School District,0840011,7.6
Monroe School District,0850011,2.7
Montville School District,0860011,6
Naugatuck School District,0880011,11.3
New Beginnings Inc Family Academy District,2800013,10.3
New Britain School District,0890011,20.1
New Canaan School District,0900011,4
New Fairfield School District,0910011,2.7
New Hartford School District,0920011,3
New Haven School District,0930011,18.3
New London School District,0950011,16.3
New Milford School District,0960011,6.7
Newington School District,0940011,6.4
Newtown School District,0970011,4
Norfolk School District,0980011,*
North Branford School District,0990011,4.8
North Canaan School District,1000011,4.6
North Haven School District,1010011,4.2
North Stonington School District,1020011,7.7
Norwalk School District,1030011,8.5
Norwich Free Academy District,9010022,14.7
Norwich School District,1040011,12.3
Odyssey Community School District,2630013,7.3
Old Saybrook School District,1060011,5.2
Orange School District,1070011,3.7
Oxford School District,1080011,8.9
Park City Prep Charter School District,2830013,5.2
Path Academy District,2930013,100
Plainfield School District,1090011,12.1
Plainville School District,1100011,10.3
Plymouth School District,1110011,10.2
Pomfret School District,1120011,1.9
Portland School District,1130011,4.8
Preston School District,1140011,7.4
Putnam School District,1160011,15.6
Redding School District,1170011,3.9
Regional School District 01,2010012,11.3
Regional School District 04,2040012,8.5
Regional School District 05,2050012,5.8
Regional School District 06,2060012,3.9
Regional School District 07,2070012,4.5
Regional School District 08,2080012,6.7
Regional School District 09,2090012,9.2
Regional School District 10,2100012,5.1
Regional School District 11,2110012,11.2
Regional School District 12,2120012,7.1
Regional School District 13,2130012,4.2
Regional School District 14,2140012,9.5
Regional School District 15,2150012,3.3
Regional School District 16,2160012,6.6
Regional School District 17,2170012,3.9
Regional School District 18,2180012,5.6
Regional School District 19,2190012,6.3
Ridgefield School District,1180011,4.7
Rocky Hill School District,1190011,6.3
Salem School District,1210011,4.5
Salisbury School District,1220011,9.4
Scotland School District,1230011,*
Seymour School District,1240011,7.5
Sharon School District,1250011,6.2
Shelton School District,1260011,10.3
Sherman School District,1270011,6.3
Side By Side Charter School District,2700013,7.2
Simsbury School District,1280011,5.3
Somers School District,1290011,11
South Windsor School District,1320011,4.8
Southington School District,1310011,5.7
Sprague School District,1330011,10.1
Stafford School District,1340011,10.1
Stamford Academy District,2820013,97.5
Stamford Charter School for Excellence District,2960013,9.7
Stamford School District,1350011,8.9
Sterling School District,1360011,9.1
Stonington School District,1370011,7.1
Stratford School District,1380011,10.9
Suffield School District,1390011,5.3
The Bridge Academy District,2690013,9.9
The Gilbert School District,9020022,3.7
The Woodstock Academy District,9030022,6.7
Thomaston School District,1400011,5.5
Thompson School District,1410011,8.3
Tolland School District,1420011,5.1
Torrington School District,1430011,12.3
Trailblazers Academy District,2780013,13.5
Trumbull School District,1440011,4.4
Unified School District #1,3360015,32.1
Unified School District #2,3470015,11.4
Union School District,1450011,*
Vernon School District,1460011,11.9
Voluntown School District,1470011,4.6
Wallingford School District,1480011,5.7
Waterbury School District,1510011,16
Waterford School District,1520011,6.3
Watertown School District,1530011,6.3
West Hartford School District,1550011,6.2
West Haven School District,1560011,11.4
Westbrook School District,1540011,6.7
Weston School District,1570011,4.6
Westport School District,1580011,2.7
Wethersfield School District,1590011,3.5
Willington School District,1600011,6.7
Wilton School District,1610011,9.5
Winchester School District,1620011,8
Windham School District,1630011,13.7
Windsor Locks School District,1650011,10.4
Windsor School District,1640011,9.7
Wolcott School District,1660011,3.7
Woodbridge School District,1670011,3.2
Woodstock School District,1690011,4.9